ResponseId,conversation_id,survey_time,conv_time,time_diff_seconds,time_diff_minutes,time_diff_hours,UserID,MatchMethod,match_confidence
R_8w129IY0S3mU0IF,674da459-1424-8005-b712-9a1b27814535,1732762620.0,1733141593.269803,378973.2698030472,6316.22116338412,105.27035272306865,28112024_0257_Generated,OptimalTimestamp,0.0
R_8v7Z7xFIRB5pnoZ,674da4e4-ee00-8009-9d26-98c351663e12,1732762620.0,1733141733.37054,379113.37053990364,6318.55617566506,105.30926959441767,28112024_0257_Generated,OptimalTimestamp,0.0
R_8U4OqbqDVvcun6h,674da537-9f4c-800c-b24f-cfd7b30fc34e,1732762620.0,1733141815.845211,379195.84521102905,6319.930753517151,105.33217922528584,28112024_0257_Generated,OptimalTimestamp,0.0
R_8Dx7CNlyg18staN,674da571-906c-8010-9401-3ca592632661,1732762620.0,1733141873.676369,379253.6763689518,6320.894606149197,105.34824343581994,28112024_0257_Generated,OptimalTimestamp,0.0
R_8erc40ZIIJPGJBb,674da5a6-cecc-8012-88a0-2c75e7e618fe,1732762620.0,1733141927.044643,379307.04464292526,6321.784077382088,105.36306795636813,28112024_0257_Generated,OptimalTimestamp,0.0
R_2GqfBa8EVb5RwCR,674da5ba-4754-800d-8728-6a712f5ba880,1732762620.0,1733141946.589546,379326.5895459652,6322.109825766087,105.36849709610145,28112024_0257_Generated,OptimalTimestamp,0.0
R_8E0sByifjmJ043l,674da5cb-66fc-8008-9c4d-268c78383d03,1732762620.0,1733141963.764685,379343.76468491554,6322.396078081926,105.3732679680321,28112024_0257_Generated,OptimalTimestamp,0.0
R_8PRIzzoVIIOh3EZ,674da5cb-aa6c-8005-9570-baef5e4d7f23,1732762620.0,1733141966.443591,379346.44359111786,6322.440726518631,105.37401210864385,28112024_0257_Generated,OptimalTimestamp,0.0
R_8NDEaq6fAHLkaWf,674da5d4-4be8-8008-8dad-c3881fa4cd6c,1732762620.0,1733141972.476677,379352.4766769409,6322.541277949015,105.37568796581692,28112024_0257_Generated,OptimalTimestamp,0.0
R_8hRQ1S7N9rhY5ev,674da5ff-c5e0-8007-b3c9-5faf7fdd3d94,1732766400.0,1733142016.019932,375616.01993203163,6260.266998867194,104.33778331445323,28112024_0400_Generated,OptimalTimestamp,0.0
R_2htMpcciGwfEJ0O,674da633-b3d4-8012-ae50-723c2ee5dc26,1732766400.0,1733142067.928456,375667.92845606804,6261.132140934467,104.3522023489078,28112024_0400_Generated,OptimalTimestamp,0.0
R_2LXNfTdzI1qkRKp,674da63b-5af4-800e-8caa-863c771b0472,1732769940.0,1733142075.664779,372135.66477894783,6202.261079649131,103.37101799415217,28112024_0459_Generated,OptimalTimestamp,0.0
R_2qnnHd3C995YD1D,674da6bc-454c-8008-8335-b38c2f28eb29,1732769940.0,1733142204.454092,372264.45409202576,6204.4075682004295,103.4067928033405,28112024_0459_Generated,OptimalTimestamp,0.0
