participant_number,ResponseId,has_conversation,conversation_id,UserID,MatchMethod,data_status,treatment,testscore,MessageCount,ConversationDurationMinutes,Session,start_time_unix
53,R_8qIeaxATBQbZaXn,True,6750518b-6308-8013-bc44-01e138baf29b,Generated_04122024_1356,PromptData,Recovered from promptdata,AI-assisted,6.0,46.0,13.405008467038472,Unknown Session,1733303340.0
54,R_2Fhc7u2XpiNnk6w,True,67508513-5df8-8002-b6fe-7996a00af6f2,Generated_04122024_1736,PromptData,Recovered from promptdata,AI-assisted,11.0,18.0,15.598201282819112,Unknown Session,1733307540.0
55,R_2eqLNDOiR7OyOkn,False,,,,No conversation data,AI-assisted,,0.0,0.0,,
56,R_2tUCajmH0ebSFG1,False,,,,No conversation data,AI-assisted,8.0,0.0,0.0,,
57,R_21NLPLVg2U9O9K4,True,67517f3b-39dc-8001-b00d-4aba7f609de4,,RecoveredData,Recovered,AI-assisted,10.0,0.0,0.0,Unknown Session,1733390160.0
58,R_8E0sByifjmJ043l,True,67502e46-1074-8012-b7c2-417dcae3c523,,ExplicitID,Complete,Control,10.0,66.0,0.0,Session 1,1732762620.0
59,R_2Hwyebe3i3gTbrC,True,67486246-f4a4-8008-b99e-4ba7578e3710,Generated_28112024_1329,PromptData,Recovered from promptdata,AI-assisted,11.0,22.0,12.262643682956696,Session 1,1732770000.0
60,R_8diye1R5UeA6slb,True,674da5cb-aa6c-8005-9570-baef5e4d7f23,,Timestamp,Complete,AI-guided,10.0,15.0,0.0,Unknown Session,1733112540.0
61,R_8esp0TKphxWLke6,False,,,,No conversation data,AI-assisted,12.0,0.0,0.0,,
62,R_8XRI5kn1eFa62WJ,True,674ef11a-ec08-8005-ba47-c32a2918994c,,Timestamp,Duplicate,AI-assisted,9.0,3.0,0.0,Unknown Session,1733199120.0
63,R_8dGFj5u4Veh5J2I,False,,,,No conversation data,AI-assisted,9.0,0.0,0.0,,
64,R_8bUoR8FZN1THuut,False,,,,No conversation data,AI-assisted,8.0,0.0,0.0,,
65,R_8AYBy6yORKqy0da,True,674eef4d-6888-8008-857f-941cb97d577a,Generated_03122024_1245,PromptData,Recovered from promptdata,AI-assisted,9.0,28.0,10.622575116157533,Unknown Session,1733212380.0
66,R_2PFcYUuMpDh01rx,True,674f21dc-fe1c-8007-b2a2-a253acf76e0b,Generated_03122024_1621,PromptData,Recovered from promptdata,AI-assisted,8.0,25.0,12.051374900341036,Unknown Session,1733216880.0
67,R_8FlH5hFoylOlnUl,True,674f481d-4fd8-8001-9778-b89ea4a08db9,,RecoveredData,Recovered,AI-assisted,5.0,0.0,0.0,Unknown Session,1733221500.0
68,R_8qqvevaKXPddvBL,False,,,,No conversation data,AI-assisted,8.0,0.0,0.0,,
69,R_831lAuV4YKtTeX3,False,,,,No conversation data,AI-assisted,8.0,0.0,0.0,,
70,R_89Owaye7yhaTAGd,False,,,,No conversation data,AI-assisted,10.0,0.0,0.0,,
71,R_8Cjiuxcvuu8nO0d,False,,,,No conversation data,AI-assisted,9.0,0.0,0.0,,
72,R_8taPZ1SYAQqq5ln,True,6750949d-45ec-8012-9306-c1cc39ef8c38,,Timestamp,Complete,AI-assisted,9.0,31.0,0.0,Unknown Session,1733298960.0
73,R_8Pz03hdwlaH2GFX,False,,,,No conversation data,AI-assisted,10.0,0.0,0.0,,
74,R_2zAx59ixCIAPBSd,True,67502efe-a3e4-8002-b6ab-d9e6c3176786,Generated_04122024_1129,PromptData,Recovered from promptdata,AI-assisted,4.0,8.0,10.564528648058571,Unknown Session,1733307540.0
75,R_2s6obfcPZjvp5OZ,False,,,,No conversation data,AI-assisted,5.0,0.0,0.0,,
76,R_2msH3L5ggrv9UCC,True,6751d8b0-f324-8001-81ee-5cc12822fc41,Generated_05122024_1745,PromptData,Recovered from promptdata,AI-assisted,9.0,24.0,12.190179963906608,Unknown Session,1733390160.0
77,R_8NDEaq6fAHLkaWf,False,,AutoID_fAHLkaWf,,Missing conversation,Control,6.0,0.0,0.0,Session 1,1732762620.0
78,R_8DfAtmXCuZTtuMh,True,674860f8-0e94-8010-89d3-593f9d906f5f,Generated_28112024_1324,PromptData,Recovered from promptdata,AI-assisted,5.0,44.0,17.76524850130081,Session 1,1732770000.0
79,R_2H1PJKPL5hueF5Z,False,,,,No conversation data,AI-guided,5.0,0.0,0.0,,
80,R_8wuBOMGVzzH8pb3,True,674eddfa-88ec-8013-b8d0-1bd24cee2b97,,Timestamp,Complete,AI-assisted,8.0,17.0,0.0,Unknown Session,1733192760.0
81,R_8aVTT7DV7SREk11,False,,,,No conversation data,AI-assisted,7.0,0.0,0.0,,
82,R_81bIEFEGeI6pThW,False,,,,No conversation data,AI-assisted,9.0,0.0,0.0,,
83,R_2kSq7NnY5jf6n6x,False,,,,No conversation data,AI-assisted,5.0,0.0,0.0,,
84,R_2mBZtJ2rmOxmT2p,True,674edca9-116c-8008-9edf-d11899a125ae,Generated_03122024_1125,PromptData,Recovered from promptdata,AI-assisted,,16.0,10.592050051689148,Unknown Session,1733212380.0
85,R_2WJg4JnAIbT0hy1,True,674f125b-6e58-8007-9f57-e4c374e7ccdb,Generated_03122024_1514,PromptData,Recovered from promptdata,AI-assisted,9.0,21.0,7.980476717154185,Unknown Session,1733216880.0
86,R_8na6Gud6ZTfk4Ap,False,,,,No conversation data,AI-assisted,9.0,0.0,0.0,,
87,R_8CJWYDT54iPipuH,True,6750417e-b030-8005-a01d-25f5ce0f035d,,Timestamp,Duplicate,AI-assisted,8.0,23.0,0.0,Unknown Session,1733285460.0
88,R_27PzpybWZPq9hCs,False,,,,No conversation data,AI-assisted,7.0,0.0,0.0,,
89,R_20V68CMhLWRUGpY,False,,,,No conversation data,AI-assisted,9.0,0.0,0.0,,
90,R_8dfQ4UdSxO0B6j8,True,67504306-7c74-8013-8e06-e22adbbde8bd,Generated_04122024_1254,PromptData,Recovered from promptdata,AI-assisted,8.0,6.0,5.875976582368215,Unknown Session,1733303340.0
91,R_2GdjsXfERFtzlt6,True,675072b0-c560-8002-b3be-273810499c3b,Generated_04122024_1618,PromptData,Recovered from promptdata,AI-assisted,8.0,28.0,18.938560350735983,Unknown Session,1733307540.0
92,R_8CEgOiMVgFA3bXo,False,,,,No conversation data,AI-assisted,,0.0,0.0,,
93,R_8roP20I2EySddnJ,True,6751c400-b6c4-8001-b67f-859a87c2692f,Generated_05122024_1617,PromptData,Recovered from promptdata,AI-assisted,10.0,24.0,20.03599344889323,Unknown Session,1733390160.0
94,R_8LrB4g4Fpe3OUFz,False,,AutoID_Fpe3OUFz,,Missing conversation,Control,9.0,0.0,0.0,Session 1,1732762620.0
